bioguide,name,last,first,state,party,house_end,n_house_terms
L000552,"LaHood, Ray",lahood,ray,IL,R,2009-01-03,7
M000714,"Millender-McDonald, Juanita",millender-mcdonald,juanita,CA,D,2007-04-22,7
N000159,"Norwood, Charles",norwood,charles,GA,R,2007-02-13,7
W000267,"Weldon, David",weldon,david,FL,R,2009-01-03,7
W000273,"Weller, Gerald",weller,gerald,IL,R,2009-01-03,7
B000420,"Berry, Robert",berry,robert,AR,D,2011-01-03,7
B000716,"Boyd, Allen",boyd,allen,FL,D,2011-01-03,7
D000210,"Delahunt, William",delahunt,william,MA,D,2011-01-03,7
E000226,"Etheridge, Bob",etheridge,bob,NC,D,2011-01-03,7
K000180,"Kilpatrick, Carolyn",kilpatrick,carolyn,MI,D,2011-01-03,7
S000672,"Snyder, Victor",snyder,victor,AR,D,2011-01-03,7
T000057,"Tauscher, Ellen",tauscher,ellen,CA,D,2009-06-26,7
W000314,"Wexler, Robert",wexler,robert,FL,D,2010-01-04,7
W000792,"Weiner, Anthony",weiner,anthony,NY,D,2011-06-21,7
W000793,"Wu, David",wu,david,OR,D,2011-08-03,7
B001234,"Baca, Joe",baca,joe,CA,D,2013-01-03,7
B000220,"Bass, Charles",bass,charles,NH,R,2013-01-03,7
B001231,"Berkley, Shelley",berkley,shelley,NV,D,2013-01-03,7
B001232,"Biggert, Judy",biggert,judy,IL,R,2013-01-03,7
B000461,"Bilbray, Brian",bilbray,brian,CA,R,2013-01-03,7
G000544,"Gonzalez, Charles",gonzalez,charles,TX,D,2013-01-03,7
M001150,"Miller, Candice",miller,candice,MI,R,2016-12-31,7
B000575,"Blunt, Roy",blunt,roy,MO,R,2011-01-03,7
B000944,"Brown, Sherrod",brown,sherrod,OH,D,2007-01-03,7
G000536,"Gutknecht, Gilbert",gutknecht,gilbert,MN,R,2007-01-03,6
H000413,"Hayworth, John",hayworth,john,AZ,R,2007-01-03,6
H000807,"Hostettler, John",hostettler,john,IN,R,2007-01-03,6
K000078,"Kelly, Sue",kelly,sue,NY,R,2007-01-03,6
M000523,"McKinney, Cynthia",mckinney,cynthia,GA,D,2007-01-03,6
R000566,"Ryun, Jim",ryun,jim,KS,R,2007-01-03,6
S001004,"Strickland, Ted",strickland,ted,OH,D,2007-01-03,6
A000357,"Allen, Thomas",allen,thomas,ME,D,2009-01-03,6
C000116,"Cannon, Christopher",cannon,christopher,UT,R,2009-01-03,6
C000191,"Carson, Julia",carson,julia,IN,D,2007-12-15,6
F000440,"Fossella, Vito",fossella,vito,NY,R,2009-01-03,6
G000280,"Goode, Virgil",goode,virgil,VA,R,2009-01-03,6
H000762,"Hooley, Darlene",hooley,darlene,OR,D,2009-01-03,6
H000948,"Hulshof, Kenny",hulshof,kenny,MO,R,2009-01-03,6
P000263,"Peterson, John",peterson,john,PA,R,2009-01-03,6
P000323,"Pickering, Charles",pickering,charles,MS,R,2009-01-03,6
W000789,"Wilson, Heather",wilson,heather,NM,R,2009-01-03,6
B001229,"Baird, Brian",baird,brian,WA,D,2011-01-03,6
I000023,"Inglis, Bob",inglis,bob,SC,R,2011-01-03,6
M001140,"Moore, Dennis",moore,dennis,KS,D,2011-01-03,6
R000568,"Rodriguez, Ciro",rodriguez,ciro,TX,D,2011-01-03,6
A000358,"Akin, W.",akin,w.,MO,R,2013-01-03,6
J000285,"Johnson, Timothy",johnson,timothy,IL,R,2013-01-03,6
P000587,"Pence, Mike",pence,mike,IN,R,2013-01-03,6
P000585,"Platts, Todd",platts,todd,PA,R,2013-01-03,6
R000571,"Rehberg, Dennis",rehberg,dennis,MT,R,2013-01-03,6
R000573,"Ross, Mike",ross,mike,AR,D,2013-01-03,6
S001155,"Sullivan, John",sullivan,john,OK,R,2013-01-03,6
B001244,"Bonner, Jo",bonner,jo,AL,R,2013-08-02,6
A000361,"Alexander, Rodney",alexander,rodney,LA,R,2013-09-27,6
B001242,"Bishop, Timothy",bishop,timothy,NY,D,2015-01-03,6
G000549,"Gerlach, Jim",gerlach,jim,PA,R,2015-01-03,6
M001149,"Michaud, Michael",michaud,michael,ME,D,2015-01-03,6
F000444,"Flake, Jeff",flake,jeff,AZ,R,2013-01-03,6
D000114,"Davis, James",davis,james,FL,D,2007-01-03,5
F000262,"Ford, Harold",ford,harold,TN,D,2007-01-03,5
G000152,"Gibbons, James",gibbons,james,NV,R,2007-01-03,5
J000082,"Jenkins, William",jenkins,william,TN,R,2007-01-03,5
N000143,"Northup, Anne",northup,anne,KY,R,2007-01-03,5
H001029,"Hayes, Robin",hayes,robin,NC,R,2009-01-03,5
J000284,"Jones, Stephanie",jones,stephanie,OH,D,2008-08-20,5
L000043,"Lampson, Nicholas",lampson,nicholas,TX,D,2009-01-03,5
R000569,"Reynolds, Thomas",reynolds,thomas,NY,R,2009-01-03,5
T000458,"Tancredo, Thomas",tancredo,thomas,CO,R,2009-01-03,5
B001235,"Brown, Henry",brown,henry,SC,R,2011-01-03,5
H001030,"Hill, Baron",hill,baron,IN,D,2011-01-03,5
P000586,"Putnam, Adam",putnam,adam,FL,R,2011-01-03,5
S001153,"Solis, Hilda",solis,hilda,CA,D,2009-02-24,5
W000794,"Watson, Diane",watson,diane,CA,D,2011-01-03,5
C001050,"Cardoza, Dennis",cardoza,dennis,CA,D,2012-08-15,5
M001147,"McCotter, Thaddeus",mccotter,thaddeus,MI,R,2012-07-06,5
C001058,"Chandler, Ben",chandler,ben,KY,D,2013-01-03,5
M001154,"Miller, R.",miller,r.,NC,D,2013-01-03,5
U000038,"Udall, Mark",udall,mark,CO,D,2009-01-03,5
B001252,"Barrow, John",barrow,john,GA,D,2015-01-03,5
C001064,"Campbell, John",campbell,john,CA,R,2015-01-03,5
S001162,"Schwartz, Allyson",schwartz,allyson,PA,D,2015-01-03,5
K000360,"Kirk, Mark",kirk,mark,IL,R,2010-11-29,5
U000039,"Udall, Tom",udall,tom,NM,D,2009-01-03,5
S001146,"Sherwood, Donald",sherwood,donald,PA,R,2007-01-03,4
S001149,"Sweeney, John",sweeney,john,NY,R,2007-01-03,4
D000597,"Davis, Jo Ann",davis,jo ann,VA,R,2007-10-06,4
F000443,"Ferguson, Michael",ferguson,michael,NJ,R,2009-01-03,4
K000361,"Keller, Ric",keller,ric,FL,R,2009-01-03,4
B001239,"Barrett, James",barrett,james,SC,R,2011-01-03,4
B001247,"Brown-Waite, Virginia",brown-waite,virginia,FL,R,2011-01-03,4
D000602,"Davis, Artur",davis,artur,AL,D,2011-01-03,4
D000599,"Davis, Lincoln",davis,lincoln,TN,D,2011-01-03,4
H001037,"Herseth Sandlin, Stephanie",herseth sandlin,stephanie,SD,D,2011-01-03,4
M001146,"Marshall, James",marshall,james,GA,D,2011-01-03,4
M001148,"Meek, Kendrick",meek,kendrick,FL,D,2011-01-03,4
D000603,"Davis, Geoff",davis,geoff,KY,R,2012-07-31,4
B001254,"Boren, Dan",boren,dan,OK,D,2013-01-03,4
C001060,"Carnahan, Russ",carnahan,russ,MO,D,2013-01-03,4
M001155,"Mack, Connie",mack,connie,FL,R,2013-01-03,4
S001164,"Schmidt, Jean",schmidt,jean,OH,R,2013-01-03,4
B001259,"Braley, Bruce",braley,bruce,IA,D,2015-01-03,4
B001262,"Broun, Paul",broun,paul,GA,R,2015-01-03,4
H001033,"Hart, Melissa",hart,melissa,PA,R,2007-01-03,3
K000358,"Kennedy, Mark",kennedy,mark,MN,R,2007-01-03,3
O000165,"Osborne, Thomas",osborne,thomas,NE,R,2007-01-03,3
O000166,"Otter, C.L.",otter,c.l.,ID,R,2007-01-03,3
S001152,"Simmons, Robert",simmons,robert,CT,R,2007-01-03,3
E000287,"Emanuel, Rahm",emanuel,rahm,IL,D,2009-01-03,3
F000447,"Feeney, Tom",feeney,tom,FL,R,2009-01-03,3
M001152,"Musgrave, Marilyn",musgrave,marilyn,CO,R,2009-01-03,3
P000589,"Porter, Jon",porter,jon,NV,R,2009-01-03,3
