name,host,party,state,district,cms,n_press,house_end
"Diaz-Balart, Lincoln",diaz-balart.house.gov,R,FL,,generic,2000,2011-01-03
"Linder, John",linder.house.gov,R,GA,,generic,2000,2011-01-03
"McHugh, John",mchugh.house.gov,R,NY,,generic,2000,2009-09-21
"Pomeroy, Earl",pomeroy.house.gov,D,ND,,generic,2000,2011-01-03
"Lungren, Daniel",lungren.house.gov,R,CA,,generic,2000,2013-01-03
"Tierney, John",tierney.house.gov,D,MA,,generic,2000,2015-01-03
"Taylor, Charles",taylor.house.gov,R,NC,,generic,2000,2007-01-03
"Everett, Terry",everett.house.gov,R,AL,,generic,2000,2009-01-03
"Souder, Mark",souder.house.gov,R,IN,,generic,2000,2010-05-21
"Tiahrt, Todd",tiahrt.house.gov,R,KS,,generic,2000,2011-01-03
"Bono Mack, Mary",bonomack.house.gov,R,CA,,generic,2000,2013-01-03
"Boswell, Leonard",boswell.house.gov,D,IA,,generic,2000,2013-01-03
"Reyes, Silvestre",reyes.house.gov,D,TX,,generic,2000,2013-01-03
"Rothman, Steven",rothman.house.gov,D,NJ,,generic,2000,2013-01-03
"Davis, Thomas",davis.house.gov,R,VA,,generic,2000,2008-11-24
"Millender-McDonald, Juanita",millender-mcdonald.house.gov,D,CA,,generic,2000,2007-04-22
"Weller, Gerald",weller.house.gov,R,IL,,generic,2000,2009-01-03
"Wexler, Robert",wexler.house.gov,D,FL,,generic,2000,2010-01-04
"Biggert, Judy",biggert.house.gov,R,IL,,generic,2000,2013-01-03
"Bilbray, Brian",bilbray.house.gov,R,CA,,generic,2000,2013-01-03
"Gonzalez, Charles",gonzalez.house.gov,D,TX,,generic,2000,2013-01-03
"Miller, Candice",miller.house.gov,R,MI,,generic,2000,2016-12-31
"Brown, Sherrod",brown.house.gov,D,OH,,generic,2000,2007-01-03
"Hayworth, John",hayworth.house.gov,R,AZ,,generic,2000,2007-01-03
"Kelly, Sue",kelly.house.gov,R,NY,,generic,2000,2007-01-03
"Carson, Julia",carson.house.gov,D,IN,,generic,2000,2007-12-15
"Rodriguez, Ciro",rodriguez.house.gov,D,TX,,generic,2000,2011-01-03
"Akin, W.",akin.house.gov,R,MO,,generic,2000,2013-01-03
"Pence, Mike",mikepence.house.gov,R,IN,,generic,2000,2013-01-03
"Sullivan, John",sullivan.house.gov,R,OK,,generic,2000,2013-01-03
"Brown, Henry",brown.house.gov,R,SC,,generic,2000,2011-01-03
"Solis, Hilda",solis.house.gov,D,CA,,generic,2000,2009-02-24
"McCotter, Thaddeus",mccotter.house.gov,R,MI,,generic,2000,2012-07-06
"Chandler, Ben",chandler.house.gov,D,KY,,generic,2000,2013-01-03
"Miller, R.",miller.house.gov,D,NC,,generic,2000,2013-01-03
"Barrow, John",barrow.house.gov,D,GA,,generic,2000,2015-01-03
"Campbell, John",campbell.house.gov,R,CA,,generic,2000,2015-01-03
"Kirk, Mark",kirk.house.gov,R,IL,,generic,2000,2010-11-29
"Barrett, James",barrett.house.gov,R,SC,,generic,2000,2011-01-03
"Davis, Artur",davis.house.gov,D,AL,,generic,2000,2011-01-03
"Davis, Lincoln",davis.house.gov,D,TN,,generic,2000,2011-01-03
"Herseth Sandlin, Stephanie",hersethsandlin.house.gov,D,SD,,generic,2000,2011-01-03
"Davis, Geoff",davis.house.gov,R,KY,,generic,2000,2012-07-31
"Carnahan, Russ",carnahan.house.gov,D,MO,,generic,2000,2013-01-03
"Mack, Connie",mack.house.gov,R,FL,,generic,2000,2013-01-03
"Schmidt, Jean",schmidt.house.gov,R,OH,,generic,2000,2013-01-03
"Braley, Bruce",braley.house.gov,D,IA,,generic,2000,2015-01-03
"Broun, Paul",broun.house.gov,R,GA,,generic,2000,2015-01-03
