"URL","error_message"
"https://guthrie.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://guthrie.house.gov"
"https://mcgarvey.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://mcgarvey.house.gov"
"https://clayhiggins.house.gov","Error in (function (..., row.names = NULL, check.rows = FALSE, check.names = TRUE,  : 
  arguments imply differing number of rows: 31, 23, 14, 20, 12, 16, 17, 13, 15, 18, 19"
"https://neal.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://neal.house.gov"
"https://mcgovern.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://mcgovern.house.gov"
"https://trahan.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://trahan.house.gov"
"https://auchincloss.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://auchincloss.house.gov"
"https://katherineclark.house.gov","Error in data.frame(date = dates[desired_dates], title = titles, body = texts,  : 
  arguments imply differing number of rows: 2, 3"
"https://pressley.house.gov","Error in node_hunter(links[[i]], debug) : 
  Failed to build individual press release links for: https://pressley.house.gov"
"https://keating.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://keating.house.gov"
"https://huizenga.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://huizenga.house.gov"
"https://debbiedingell.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://debbiedingell.house.gov"
"https://tlaib.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://thanedar.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://thanedar.house.gov"
"https://fischbach.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://fischbach.house.gov"
"https://guest.house.gov","No pressers found in date range"
"https://jasonsmith.house.gov","Error in node_hunter(links[[i]], debug) : 
  Failed to build individual press release links for: https://jasonsmith.house.gov"
"https://bacon.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://bacon.house.gov"
"https://norcross.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://norcross.house.gov"
"https://chrissmith.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid title node found for https://chrissmith.house.gov"
"https://gottheimer.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://watsoncoleman.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://watsoncoleman.house.gov"
"https://meeks.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://meeks.house.gov"
"https://jeffries.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid title node found for https://jeffries.house.gov"
"https://clarke.house.gov","Error in node_hunter(links[[i]], debug) : 
  Failed to build individual press release links for: https://clarke.house.gov"
"https://nadler.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://nadler.house.gov"
"https://ritchietorres.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://patryan.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid title node found for https://patryan.house.gov"
