bioguide,icpsr,last,first,state,party,chamber
H000899,4682,hubley,edward,PA,D,House
H000993,4764,hunter,william,OH,D,House
I000021,4810,ingham,samuel,CT,D,House
J000015,4853,jackson,jabez,GA,D,House
K000174,5238,kilgore,daniel,OH,D,House
K000269,5323,klingensmith,john,PA,D,House
L000129,5506,lawler,joab,AL,O,House
L000220,5588,legare,hugh,SC,D,House
L000338,5689,linn,lewis,MO,D,Senate
L000402,5745,logan,henry,PA,D,House
L000436,5773,loomis,andrew,OH,O,House
L000437,5774,loomis,arphaxed,NY,D,House
L000512,5837,lumpkin,wilson,GA,D,Senate
L000542,5864,lyon,francis,AL,O,House
M000192,6034,martin,joshua,AL,D,House
M000262,6091,maury,abram,TN,O,House
M000277,6105,may,william,IL,D,House
M000516,6307,mckim,isaac,MD,D,House
M000519,6310,mckinley,john,AL,D,Senate
M000638,6412,menefee,richard,KY,O,House
M000767,6521,milligan,john,DE,O,House
M000897,6631,moore,ely,NY,D,House
M000960,6687,morgan,william,VA,D,House
M000984,6711,morris,mathias,PA,O,House
M001050,6770,mouton,alexander,LA,D,Senate
M001065,6783,muhlenberg,henry,PA,D,House
M001110,6822,murray,john,KY,D,House
N000120,6943,noble,william,NY,D,House
N000158,6977,norvell,john,MI,D,Senate
N000165,6982,noyes,joseph,ME,O,House
O000157,7136,owens,george,GA,D,House
P000041,7178,palmer,john,NY,D,House
P000054,7188,parker,amasa,NY,D,House
P000133,7257,patterson,william,NY,O,House
P000140,7265,patton,john,VA,D,House
P000297,7402,phelps,lancelot,CT,D,House
P000312,7417,phillips,stephen,MA,O,House
P000472,7562,potts,"david,",PA,O,House
P000510,7600,prentiss,samuel,VT,O,Senate
P000511,7601,prentiss,seargent,MS,O,House
P000519,7608,preston,william,SC,O,Senate
R000158,7819,reily,luther,PA,D,House
R000224,7879,richardson,john,SC,D,House
R000293,7937,roane,william,VA,D,Senate
R000323,7963,robertson,john,VA,O,House
R000334,7974,robinson,edward,ME,O,House
R000507,8114,rumsey,edward,KY,O,House
S000093,8241,sawyer,samuel,NC,O,House
S000316,8427,sheffer,daniel,PA,D,House
S000333,8442,shepler,matthias,OH,D,House
S000360,8468,shields,ebenezer,TN,O,House
S000399,8501,sibley,mark,NY,O,House
S000531,8614,smith,francis,ME,D,House
S000599,8674,smith,oliver,IN,O,Senate
S000600,8675,smith,perry,CT,D,Senate
S000664,8731,snyder,adam,IL,D,House
S000690,8753,southgate,william,KY,O,House
S000725,8785,spencer,james,NY,D,House
S000789,8832,standifer,james,TN,O,House
S000965,8986,stone,william,TN,O,House
S001032,9051,stuart,archibald,VA,D,House
T000103,9234,taylor,william,NY,D,House
T000288,9400,titus,obadiah,NY,D,House
V000002,9583,vail,henry,NY,D,House
V000030,9606,vanderveer,abraham,NY,D,House
W000241,9906,webster,taylor,OH,D,House
W000247,9912,weeks,joseph,NH,D,House
W000431,10078,whittlesey,elisha,OH,O,House
W000433,10080,whittlesey,thomas,CT,D,House
W000742,10371,word,thomas,MS,O,House
Y000050,10453,young,richard,IL,D,Senate
M000654,6427,merrick,william,MD,O,Senate
T000380,9480,trotter,james,MS,D,Senate
W000539,10181,williams,thomas,MS,D,Senate
A000135,118,allen,john,OH,O,House
A000137,120,allen,judson,NY,D,House
A000168,149,alvord,james,MA,O,House
A000190,168,anderson,hugh,ME,D,House
A000232,181,anderson,simeon,KY,O,House
B000284,556,beatty,william,PA,D,House
B000319,586,beirne,andrew,VA,D,House
B000428,682,betts,thaddeus,CT,O,Senate
B000443,695,biddle,richard,PA,O,House
B000613,842,bond,william,OH,O,House
B000732,944,brackenridge,henry,PA,O,House
B000901,1096,brown,anson,NY,O,House
B001204,1362,bynum,jesse,NC,D,House
C000177,1529,carr,john,IN,D,House
C000188,1539,carroll,james,MD,D,House
C000204,1553,carter,william,TN,O,House
C000318,,chapman,william,IA,D,House
C000363,1700,chinn,thomas,LA,O,House
C000700,2002,connor,henry,NC,D,House
C000766,2060,cooper,william,NJ,D,House
C000847,2124,crabb,george,AL,O,House
C000859,2135,craig,robert,VA,D,House
C000882,2152,crary,isaac,MI,D,House
C000920,2188,crockett,john,TN,O,House
C001009,2270,curtis,edward,NY,O,House
D000068,2350,davee,thomas,ME,D,House
D000088,2370,davies,edward,PA,O,House
D000116,2395,davis,john,PA,D,House
D000205,2475,de la montanya,james,NY,D,House
D000244,2502,dennis,john,MD,O,House
D000309,2562,dickerson,philemon,NJ,D,House
D000376,2622,dixon,nathan,RI,O,Senate
D000398,2644,doe,nicholas,NY,O,House
D000472,,downing,charles,FL,O,House
E000012,2818,earll,nehemiah,NY,D,House
E000166,2954,ely,john,NY,D,House
F000125,3148,fine,john,NY,D,House
F000144,3164,fisher,charles,NC,D,House
F000201,3217,fletcher,isaac,VT,D,House
G000011,3429,galbraith,john,PA,D,House
G000067,3477,garland,james,VA,O,House
G000070,3479,garland,rice,LA,O,House
G000392,3761,graves,william,KY,O,House
G000462,3821,griffin,john,SC,D,House
G000479,3838,grinnell,moses,NY,O,House
G000509,3865,grundy,felix,TN,D,Senate
H000132,4011,hammond,robert,PA,D,House
H000152,4029,hand,augustus,NY,D,House
H000261,4122,harrison,albert,MO,D,House
H000363,4208,hawes,richard,KY,O,House
H000373,4217,hawkins,micajah,NC,D,House
H000482,4309,henderson,john,MS,O,Senate
H000594,4412,hill,john,NC,D,House
H000595,4413,hill,john,VA,O,House
H000617,4432,hillen solomon,solomon,MD,D,House
H000687,4491,hoffman,josiah,NY,O,House
H000721,4521,holleman,joel,VA,D,House
H000745,4542,holt,hines,GA,O,House
H000844,4631,howard,tilghman,IN,D,House
J000027,4864,jackson,thomas,NY,D,House
J000078,4910,jenifer,daniel,MD,O,House
J000184,5000,johnston,charles,NY,O,House
J000243,5053,jones,nathaniel,NY,D,House
K000084,5160,kemble,gouverneur,NY,D,House
K000087,5162,kempshall,thomas,NY,O,House
K000178,5242,kille,joseph,NJ,D,House
L000130,5507,lawrence,abbott,MA,O,House
L000172,5538,leadbetter,daniel,OH,D,House
L000211,5575,leet,isaac,PA,D,House
L000249,5614,leonard,stephen,NY,D,House
M000081,5939,mallory,meredith,NY,D,House
M000211,6049,marvin,richard,NY,O,House
M000322,6141,mccarty,william,VA,O,House
M000345,6162,mcclure,charles,PA,D,House
M000389,6200,mcculloch,george,PA,D,House
M000642,6415,mercer,charles,VA,O,House
M000806,6555,mitchell,charles,NY,O,House
M000856,6595,monroe,james,NY,O,House
M000874,6609,montgomery,william,NC,D,House
M000987,6714,morris,samuel,PA,D,House
N000011,6847,naylor,charles,PA,O,House
P000032,7170,palen,rufus,NY,O,House
P000081,7213,parris,virgil,ME,D,House
P000155,7275,paynter,lemuel,PA,D,House
P000179,7297,peck,luther,NY,O,House
P000267,7375,petrikin,david,PA,D,House
P000469,7560,potter,william,PA,D,House
P000509,7599,prentiss,john,NY,D,House
R000030,7707,ramsey,william,PA,D,House
R000066,7740,rariden,james,IN,O,House
R000121,7789,reed,john,MA,O,House
R000265,7912,ripley,eleazar,LA,D,House
R000284,7928,rives,francis,VA,D,House
R000353,7991,robinson,thomas,DE,D,House
R000393,8025,rogers,edward,NY,D,House
R000524,8127,russell,david,NY,O,House
R000554,8154,ryall,daniel,NJ,D,House
S000028,8192,samuels,green,VA,D,House
S000329,8439,shepard,charles,NC,D,House
S000513,8599,smith,albert,ME,D,House
S000565,8648,smith,john,VT,D,House
S000689,8752,southard,samuel,NJ,O,Senate
S000977,8998,storrs,william,CT,O,House
S001020,9039,strong,theron,NY,D,House
S001099,9111,swearingen,henry,OH,D,House
T000032,9172,tallmadge,nathaniel,NY,O,Senate
T000039,9177,tappan,benjamin,OH,D,Senate
T000092,9223,taylor,jonathan,OH,D,House
T000221,9342,thompson,waddy,SC,O,House
V000028,9605,vanderpoel,aaron,NY,D,House
V000123,9692,vroom,peter,NJ,D,House
W000016,9709,wagener,david,PA,D,House
W000020,9712,wagner,peter,NY,O,House
W000532,10174,williams,reuel,ME,D,Senate
W000536,10178,williams,sherrod,KY,O,House
W000748,10377,worthington,john,MD,D,House
A000181,160,anderson,alexander,TN,D,Senate
G000362,3739,graham,william,NC,O,Senate
P000437,7531,porter,augustus,MI,O,Senate
H000279,4138,harrison,william,OH,O,Senate
T000450,9542,tyler,john,VA,O,Senate
A000104,91,alford,julius,GA,O,House
A000120,105,allen,elisha,ME,O,House
A000247,197,andrews,landaff,KY,O,House
A000249,199,andrews,sherlock,OH,O,House
A000269,219,appleton,nathan,MA,O,House
A000275,225,archer,william,VA,O,Senate
A000297,249,arnold,thomas,TN,O,House
A000350,305,aycrigg,john,NJ,O,House
B000003,313,babcock,alfred,NY,O,House
B000115,408,banks,linn,VA,D,House
B000183,469,barrow,alexander,LA,O,Senate
B000214,496,barton,richard,VA,O,House
B000233,513,bates,isaac,MA,O,Senate
B000251,527,bayard,richard,DE,O,Senate
B000313,582,beeson,henry,PA,D,House
B000484,729,birdseye,victory,NY,O,House
B000498,742,black,henry,PA,O,House
B000522,763,blair,bernard,NY,O,House
B000578,811,boardman,william,CT,O,House
B000636,860,borden,nathaniel,MA,O,House
B000708,922,bowne,samuel,NY,D,House
B000814,1019,brewster,david,NY,D,House
B000830,1033,briggs,george,MA,O,House
B000854,1054,brockway,john,CT,O,House
B000868,1066,bronson,david,ME,O,House
B001189,1349,butler,sampson,SC,D,House
B001195,1355,butler,william,SC,O,House
B001197,1357,butler,william,KY,D,House
C000032,1406,caldwell,greene,NC,D,House
C000039,1413,caldwell,patrick,SC,D,House
C000046,1420,calhoun,william,MA,O,House
C000101,1465,campbell,thomas,TN,O,House
C000209,1558,caruthers,robert,TN,O,House
C000213,1562,cary,george,VA,D,House
C000230,1579,casey,zadok,IL,O,House
C000355,1693,childs,timothy,NY,O,House
C000374,1710,chittenden,thomas,NY,O,House
C000375,1711,choate,rufus,MA,O,Senate
C000443,1775,clark,john,NY,O,House
C000471,1801,clarke,staley,NY,O,House
C000499,1825,clayton,thomas,DE,O,Senate
C000518,1841,clifford,nathan,ME,D,House
C000821,2103,cowen,benjamin,OH,O,House
C000884,2154,cravens,james,IN,O,House
C000890,2160,crawford,george,GA,O,House
C001016,2277,cushing,caleb,MA,O,House
D000352,2602,dimock,davis,PA,D,House
D000380,2627,doan,william,OH,D,House
D000400,2645,doig,andrew,NY,D,House
E000020,2824,eastman,ira,NH,D,House
E000074,2868,edwards,john,PA,O,House
E000076,2870,edwards,john,MO,D,House
E000088,2880,egbert,joseph,NY,D,House
E000241,3007,evans,george,ME,O,Senate
E000265,3027,everett,horace,VT,O,House
F000090,3118,ferris,charles,NY,D,House
F000219,3232,floyd,charles,NY,D,House
F000276,3279,fornance,joseph,PA,D,House
F000296,3298,foster,a.,NY,O,House
F000314,3316,foster,thomas,GA,O,House
F000425,3411,fulton,william,AR,D,Senate
G000033,3448,gamble,roger,GA,O,House
G000097,3505,gates,seth,NY,O,House
G000140,3543,gerry,james,PA,D,House
G000278,3667,goode,patrick,OH,O,House
G000376,3750,granger,francis,NY,O,House
G000449,3811,greig,john,NY,O,House
G000533,3883,gustine,amos,PA,D,House
H000003,3893,habersham,richard,GA,O,House
H000052,3939,hall,hiland,VT,O,House
H000092,3974,halstead,william,NJ,O,House
H000257,4118,harris,william,VA,D,House
H000328,4179,hastings,john,OH,D,House
H000332,4182,hastings,william,MA,O,House
H000407,4246,hays,samuel,VA,D,House
H000518,4343,henry,thomas,PA,O,House
H000756,4551,hook,enos,PA,D,House
H000810,4599,houck,jacob,NY,D,House
H000970,4743,hunt,hiram,NY,O,House
I000044,4829,irwin,william,PA,O,House
J000002,4840,jack,william,PA,D,House
J000049,4883,james,francis,PA,O,House
J000180,4996,johnson,william,MD,O,House
J000226,5037,jones,isaac,MD,O,House
K000050,5128,keim,george,PA,D,House
K000139,5209,kerr,john,MD,O,Senate
L000137,5514,lawrence,joseph,PA,O,House
L000315,5669,lincoln,levi,MA,O,House
L000335,5686,linn,archibald,NY,O,House
L000476,5811,lowell,joshua,ME,D,House
M000080,5938,mallory,francis,VA,O,House
M000123,5975,marchand,albert,PA,D,House
M000150,5996,marshall,alfred,ME,D,House
M000162,6008,marshall,thomas,KY,O,House
M000219,6056,mason,john,MD,D,House
M000225,6062,mason,samson,OH,O,House
M000243,6077,mathiot,joshua,OH,O,House
M000258,6088,mattocks,john,VT,O,House
M000268,6096,maxwell,john,NJ,O,House
M000285,6113,maynard,john,NY,O,House
M000328,6147,mcclellan,abraham,TN,D,House
M000333,6152,mcclellan,robert,NY,D,House
M000501,6295,mckennan,thomas,PA,O,House
M000509,6302,mckeon,john,NY,D,House
M000599,6381,mcroberts,samuel,IL,D,Senate
M000624,6402,medill,william,OH,D,House
M000652,6425,meriwether,james,GA,O,House
M000735,6491,miller,john,MO,D,House
M000804,6553,mitchell,anderson,NC,O,House
M000938,6666,morehead,james,KY,O,Senate
M000945,6673,morgan,christopher,NY,O,House
M000973,6700,morris,calvary,OH,O,House
M001003,6728,morrow,jeremiah,OH,O,House
N000068,6896,newhard,peter,PA,D,House
N000111,6934,nisbet,eugenius,GA,O,House
O000047,7035,ogle,charles,PA,O,House
O000078,7065,oliver,william,NY,D,House
O000114,7095,osborne,thomas,CT,O,House
O000162,7140,owsley,bryan,KY,O,House
P000093,7225,partridge,samuel,NY,D,House
P000208,7323,pendleton,nathanael,OH,O,House
P000321,7426,pickens,francis,SC,D,House
P000391,7491,plumer,arnold,PA,D,House
P000431,7525,pope,john,KY,O,House
P000479,7570,powell,cuthbert,VA,O,House
P000548,7633,proffit,george,IN,O,House
R000028,7705,ramsey,robert,PA,O,House
R000034,7710,randall,alexander,MD,O,House
R000035,7711,randall,benjamin,ME,O,House
R000048,7724,randolph,joseph,NJ,O,House
R000162,7822,rencher,abraham,NC,O,House
R000174,7832,reynolds,john,IL,D,House
R000247,7899,ridgway,joseph,OH,O,House
R000255,7905,riggs,lewis,NY,D,House
R000285,7929,rives,william,VA,O,Senate
R000396,8027,rogers,james,SC,D,House
R000427,8052,roosevelt,james,NY,D,House
R000527,8129,russell,james,PA,O,House
R000540,8142,russell,william,OH,O,House
S000020,8184,saltonstall,leverett,MA,O,House
S000048,8207,sanford,john,NY,D,House
S000246,8365,sergeant,john,PA,O,House
S000258,8375,sewall,charles,MD,D,House
S000311,8422,shaw,tristram,NH,D,House
S000359,8467,shields,benjamin,AL,D,House
S000427,8525,simonton,william,PA,O,House
S000475,8566,slade,william,VT,O,House
S000667,8734,snyder,john,PA,D,House
S000750,8808,sprigg,james,KY,O,House
S000945,8968,stokely,samuel,OH,O,House
S000993,9013,stratton,charles,NJ,O,House
S001030,9049,stuart,alexander,VA,O,House
S001074,9089,sumter,thomas,SC,D,House
S001105,9115,sweeny,george,OH,D,House
T000027,9167,taliaferro,john,VA,O,House
T000272,9384,tillinghast,joseph,RI,O,House
T000296,9407,toland,george,PA,O,House
T000301,9412,tomlinson,thomas,NY,O,House
T000378,9478,triplett,philip,KY,O,House
T000381,9481,trotti,samuel,SC,D,House
T000391,9491,trumbull,joseph,CT,O,House
V000015,9594,van buren,john,NY,D,House
V000052,9628,van rensselaer,henry,NY,O,House
W000067,9753,walker,robert,MS,D,Senate
W000076,9762,wallace,david,IN,O,House
W000125,9806,ward,aaron,NY,D,House
W000167,9845,warren,lott,GA,O,House
W000182,9858,washington,william,NC,O,House
W000208,9879,watterson,harvey,TN,D,House
W000306,9964,westbrook,john,PA,D,House
W000365,10018,white,edward,LA,O,House
W000382,10035,white,joseph,IN,O,House
W000509,10154,williams,james,MD,D,House
W000524,10168,williams,joseph,TN,O,House
W000527,10170,williams,lewis,NC,O,House
W000543,10185,williams,thomas,CT,O,House
W000709,10339,woodbridge,william,MI,O,Senate
W000711,10341,woodbury,levi,NH,D,Senate
Y000023,10430,yorke,thomas,NJ,O,House
Y000029,10435,young,augustus,VT,O,House
Y000042,10445,young,john,NY,O,House
C000851,2128,crafts,samuel,VT,O,Senate
M000426,6232,mcduffie,george,SC,D,Senate
S000746,8805,sprague,william,RI,O,Senate
W000458,10103,wilcox,leonard,NH,D,Senate
A000150,130,allen,william,OH,D,Senate
A000302,254,arrington,archibald,NC,D,House
A000308,260,ashe,john,TN,O,House
B000030,334,bagby,arthur,AL,D,Senate
B000071,370,baker,osmyn,MA,O,House
B000152,443,barnard,daniel,NY,O,House
B000281,553,beardsley,samuel,NY,D,House
B000354,619,belser,james,AL,D,House
B000445,696,bidlack,benjamin,PA,D,House
B000494,738,black,edward,GA,D,House
B000516,759,blackwell,julius,TN,D,House
B000651,871,bossier,pierre,LA,D,House
B000687,901,bower,gustavus,MO,D,House
B000793,999,breese,sidney,IL,D,Senate
B000797,1003,brengle,francis,MD,O,House
B000837,1040,brinkerhoff,henry,OH,D,House
B000899,1094,brown,aaron,TN,D,House
B000925,1115,brown,jeremiah,PA,O,House
B001088,1262,burke,edmund,NH,D,House
B001114,1284,burnell,barker,MA,O,House
C000090,1456,campbell,john,SC,D,House
C000169,1522,carpenter,levi,NY,D,House
C000215,1564,cary,jeremiah,NY,D,House
C000217,1566,cary,shepard,ME,D,House
C000251,1599,catlin,george,CT,D,House
C000258,1606,causin,john,MD,O,House
C000319,1661,chappell,absalom,GA,O,House
C000358,1695,chilton,samuel,VA,O,House
C000520,1843,clinch,duncan,GA,O,House
C000528,1850,clinton,james,NY,D,House
C000625,1937,coles,walter,VA,D,House
C000648,1954,colquitt,walter,GA,D,Senate
C000759,2053,cooper,mark,GA,D,House
C000930,2197,cross,edward,AR,D,House
D000020,2312,dana,amasa,NY,D,House
D000128,2405,davis,richard,NY,D,House
D000171,2444,dean,ezra,OH,D,House
D000221,2485,dellet,james,AL,O,House
D000318,2570,dickinson,david,TN,O,House
D000528,2756,duncan,alexander,OH,D,House
E000131,2920,ellis,chesselden,NY,D,House
E000156,2944,elmer,lucius,NJ,D,House
F000017,3058,farlee,isaac,NJ,D,House
F000213,3228,florence,elias,OH,O,House
F000302,3304,foster,ephraim,TN,O,Senate
F000383,3373,frick,henry,PA,O,House
F000409,3395,fuller,george,PA,D,House
G000218,3613,gilmer,thomas,VA,D,House
G000406,3774,green,byram,NY,D,House
G000423,3787,green,willis,KY,O,House
H000120,4000,hamlin,edward,OH,O,House
H000125,4004,hammett,william,MS,D,House
H000167,4041,hannegan,edward,IN,D,Senate
H000185,4053,hardin,john,IL,O,House
H000406,4245,hays,samuel,PA,D,House
H000411,4250,haywood,william,NC,D,Senate
H000539,4363,herrick,joshua,ME,D,House
H000895,4679,hubbell,william,NY,D,House
H000917,4696,huger,daniel,SC,D,Senate
H000927,4705,hughes,james,MO,D,House
I000033,4818,irvin,james,PA,O,House
J000059,4893,jarnagin,spencer,TN,O,Senate
J000092,4921,jenks,michael,PA,O,House
J000122,4945,johnson,cave,TN,D,House
J000167,4985,johnson,perley,OH,O,House
J000240,5049,jones,john,VA,D,House
K000109,5182,kennedy,john,MD,O,House
K000236,5293,kirkpatrick,littleton,NJ,D,House
L000001,5389,la branche,alcee,LA,D,House
L000029,,lamar,john,GA,D,House
L000248,5613,leonard,moses,NY,D,House
L000494,5824,lucas,william,VA,D,House
L000544,5866,lyon,lucius,MI,D,House
M000237,6073,mathews,james,OH,D,House
M000323,6142,mccauslen,william,OH,D,House
M000713,6473,millen,john,GA,D,House
M000899,6633,moore,heman,OH,D,House
N000080,6908,newton,willoughby,VA,O,House
N000108,6931,niles,john,CT,D,Senate
P000076,7209,parmenter,william,MA,D,House
P000129,7254,patterson,thomas,NY,O,House
P000462,7554,potter,elisha,RI,O,House
P000507,7597,pratt,zadock,NY,D,House
P000515,7604,preston,jacob,MD,O,House
P000571,7653,purdy,smith,NY,D,House
R000087,7758,rayner,kenneth,NC,O,House
R000090,7761,read,almon,PA,D,House
R000106,7776,reding,john,NH,D,House
R000110,7778,reed,charles,PA,O,House
R000351,7990,robinson,orville,NY,D,House
R000379,8015,rodney,george,DE,O,House
R000390,8022,rogers,charles,NY,O,House
R000528,8130,russell,jeremiah,NY,D,House
S000024,8188,sample,samuel,IN,O,House
S000078,8228,saunders,romulus,NC,D,House
S000239,8360,semple,james,IL,D,Senate
S000245,8364,senter,william,TN,O,House
S000256,8373,sevier,ambrose,AR,D,Senate
S000271,8387,seymour,thomas,CT,D,House
S000425,8523,simons,samuel,CT,D,House
S000576,8657,smith,john,PA,D,House
S000720,8780,spence,thomas,MD,O,House
S000843,8878,steenrod,lewis,VA,D,House
S000874,8904,stetson,lemuel,NY,D,House
S000913,8939,stewart,john,CT,D,House
S000925,8951,stiles,william,GA,D,House
S000952,8974,stone,alfred,OH,D,House
S001016,9035,strong,selah,NY,D,House
S001066,9081,summers,george,VA,O,House
T000404,9502,tucker,tilghman,MS,D,House
T000447,9539,tyler,asher,NY,O,House
V000048,9624,vanmeter,john,OH,O,House
W000311,9969,wethered,john,MD,O,House
W000357,10011,white,benjamin,ME,D,House
W000380,10033,white,john,KY,O,House
W000475,10120,wilkins,william,PA,D,House
W000503,10148,williams,henry,MA,D,House
W000649,10286,wise,henry,VA,D,House
W000770,10398,wright,silas,NY,D,Senate
D000317,2569,dickinson,daniel,NY,D,Senate
F000304,3306,foster,henry,NY,D,Senate
F000336,3335,francis,john,RI,O,Senate
J000137,4959,johnson,henry,LA,O,Senate
P000409,7507,polk,james,TN,D,House
A000198,175,anderson,joseph,NY,D,House
A000291,243,arnold,lemuel,RI,O,House
B000343,609,bell,joshua,KY,O,House
B000394,654,benton,charles,NY,D,House
B000500,744,black,james,PA,D,House
B000838,1041,brinkerhoff,jacob,OH,D,House
B000852,1052,brockenbrough,william,FL,D,House
B000938,1128,brown,milton,TN,O,House
B001041,1219,buffington,joseph,PA,O,House
C000093,1458,campbell,john,PA,O,House
C000105,1469,campbell,william,NY,O,House
C000186,1537,carroll,charles,NY,O,House
C000273,1618,chalmers,joseph,MS,D,Senate
C000308,1651,chapman,augustus,VA,D,House
C000316,1658,chapman,reuben,AL,D,House
C000368,1705,chipman,john,MI,D,House
C000434,1766,clark,henry,NC,D,House
C000632,1944,collin,john,NY,D,House
C000708,2008,constable,albert,MD,D,House
C000803,2088,cottrell,james,AL,D,House
C000878,2149,cranston,henry,RI,O,House
C000972,2238,cullom,alvan,TN,D,House
C000978,2244,culver,erastus,NY,O,House
C000990,2254,cunningham,francis,OH,D,House
D000052,2336,dargan,edmund,AL,D,House
D000061,2345,darragh,cornelius,PA,O,House
D000120,2399,davis,john,IN,D,House
D000152,2427,dawson,john,LA,D,House
D000166,2441,dayton,william,NJ,O,Senate
D000223,2488,de mott,john,NY,D,House
D000346,2596,dillingham,paul,VT,D,House
D000365,2614,dix,john,NY,D,Senate
D000381,2628,dobbin,james,NC,D,House
D000543,2768,dunlap,robert,ME,D,House
E000116,2905,ellett,henry,MS,D,House
E000149,2937,ellsworth,samuel,NY,D,House
E000200,2979,erdman,jacob,PA,D,House
E000276,3037,ewing,edwin,TN,O,House
E000278,3039,ewing,john,PA,O,House
F000006,3049,fairfield,john,ME,D,Senate
G000089,3497,garvin,william,PA,D,House
G000184,3583,giles,william,MD,D,House
G000315,3699,gordon,samuel,NY,D,House
G000355,3733,graham,james,NC,O,House
G000424,3788,greene,albert,RI,O,Senate
G000506,3862,grover,martin,NY,D,House
H000330,4180,hastings,serranus,IA,D,House
H000507,4334,henry,john,IL,O,House
H000541,4365,herrick,richard,NY,O,House
H000697,4500,hoge,joseph,IL,D,House
H000812,4601,hough,william,NY,D,House
H000876,4661,hubard,edmund,VA,D,House
H000968,4741,hungerford,orville,NY,D,House
H000971,4744,hunt,james,MI,D,House
H000997,4768,huntington,jabez,CT,O,Senate
J000094,4923,jenness,benning,NH,D,Senate
J000155,4974,johnson,joseph,VA,D,House
J000252,5062,jones,seaborn,GA,D,House
K000102,5176,kennedy,andrew,IN,D,House
L000136,5513,lawrence,john,NY,D,House
L000230,5595,leib,owen,PA,D,House
L000270,5629,lewis,abner,NY,O,House
L000414,5755,long,edward,MD,O,House
M000168,6014,martin,barclay,TN,D,House
M000189,6031,martin,john,KY,D,House
M000196,,martin,morgan,WI,D,House
M000325,6144,mcclean,moses,PA,D,House
M000356,6168,mcconnell,felix,AL,D,House
M000380,6192,mccrate,john,ME,D,House
M000400,6209,mcdaniel,william,MO,D,House
M000425,6231,mcdowell,joseph,OH,D,House
M000471,6272,mchenry,john,KY,O,House
M000765,6519,miller,william,NY,O,House
M000980,6707,morris,joseph,OH,D,House
M001024,6747,moseley,william,NY,O,House
M001046,6766,moulton,mace,NH,D,House
N000077,6906,newton,thomas,AR,O,House
N000112,6935,niven,archibald,NY,D,House
O000152,7132,owen,robert,IN,D,House
P000082,7214,parrish,isaac,OH,D,House
P000154,7274,payne,william,AL,D,House
P000216,7331,pennybacker,isaac,VA,D,Senate
P000240,7353,perrill,augustus,OH,D,House
P000245,7358,perry,thomas,MD,D,House
P000283,7388,peyton,joseph,TN,O,House
P000531,7617,price,sterling,MO,D,House
R000069,7742,rathbun,george,NY,D,House
R000160,7820,relfe,james,MO,D,House
R000267,7914,ripley,thomas,NY,O,House
R000278,7923,ritter,john,PA,D,House
R000315,7955,roberts,robert,MS,D,House
R000509,8115,runk,john,NJ,O,House
S000104,8249,scamman,john,ME,D,House
S000208,8332,seaman,henry,NY,O,House
S000255,8372,severance,luther,ME,O,House
S000440,8536,sims,leonard,MO,D,House
S000512,8600,smith,albert,NY,O,House
S000615,8687,smith,thomas,IN,D,House
S000715,8777,speight,jesse,MS,D,Senate
S000767,8180,st. john,henry,OH,D,House
S000813,8852,starkweather,david,OH,D,House
S001018,9037,strong,stephen,NY,D,House
S001046,9061,sturgeon,daniel,PA,D,Senate
S001131,9138,sykes,george,NJ,D,House
T000104,9235,taylor,william,VA,D,House
T000190,9313,thomasson,william,KY,O,House
T000261,9375,tibbatts,john,KY,D,House
T000270,9382,tilden,daniel,OH,O,House
T000327,9431,towns,george,GA,D,House
T000360,9462,tredway,william,VA,D,House
T000388,9488,trumbo,andrew,KY,O,House
T000430,9524,turney,hopkins,TN,D,Senate
V000017,9597,vance,joseph,OH,O,House
W000238,9903,webster,daniel,MA,O,Senate
W000308,9966,westcott,james,FL,D,Senate
W000328,9982,wheaton,horace,NY,D,House
W000692,10322,wood,bradford,NY,D,House
W000719,10349,woodruff,thomas,NY,O,House
W000736,10366,woodworth,william,NY,D,House
W000769,10397,wright,samuel,NJ,O,House
Y000003,10411,yancey,william,AL,D,House
Y000017,10424,yell,archibald,AR,D,House
Y000026,10433,yost,jacob,PA,D,House
Y000030,10436,young,bryan,KY,O,House
C000396,1729,cilley,joseph,NH,O,Senate
A000004,3,abbott,amos,MA,O,House
A000041,34,adams,john,MA,O,House
A000311,263,ashley,chester,AR,D,Senate
A000328,283,atkinson,archibald,VA,D,House
B000096,391,baldwin,roger,CT,O,Senate
B000182,468,barringer,daniel,NC,O,House
B000185,471,barrow,washington,TN,O,House
B000302,572,bedinger,henry,VA,D,House
B000321,588,belcher,hiram,ME,O,House
B000413,669,berrien,john,GA,O,Senate
B000480,725,birdsall,ausburn,NY,D,House
B000501,745,black,james,SC,D,House
B000513,756,blackmar,esbon,NY,O,House
B000539,779,blanchard,john,PA,O,House
B000655,874,botts,john,VA,O,House
B000734,946,bradbury,james,ME,D,Senate
B000741,952,bradley,edward,MI,D,House
B000754,965,brady,jasper,PA,O,House
B000906,1101,brown,charles,PA,D,House
B001032,1211,buckner,aylette,KY,O,House
C000044,1418,calhoun,john,SC,D,Senate
C000108,1471,canby,richard,OH,O,House
C000314,1656,chapman,john,MD,O,House
C000330,1670,chase,lucien,TN,D,House
C000413,1745,clapp,asa,ME,D,House
C000432,1764,clark,franklin,ME,D,House
C000458,1789,clarke,beverly,KY,D,House
C000466,1796,clarke,john,RI,O,Senate
C000573,1889,cocke,william,TN,O,House
C000644,1951,collins,william,NY,D,House
