bioguide,icpsr,last,first,state,party,chamber
T000469,20934,tonko,paul,NY,D,House
T000463,20342,turner,michael,OH,R,House
V000128,20330,van hollen,chris,MD,D,Senate
V000081,29378,velazquez,nydia,NY,D,House
W000798,20725,walberg,tim,MI,R,House
W000797,20504,wasserman schultz,debbie,FL,D,House
W000187,29106,waters,maxine,CA,D,House
W000806,21116,webster,daniel,FL,R,House
W000800,20750,welch,peter,VT,D,Senate
W000795,20138,wilson,joe,SC,R,House
W000808,21118,wilson,frederica,FL,D,House
W000804,20756,wittman,robert,VA,R,House
W000809,21108,womack,steve,AR,R,House
W000779,14871,wyden,ron,OR,D,Senate
Y000064,21133,young,todd,IN,R,Senate
A000369,21196,amodei,mark,NV,R,House
B001278,21198,bonamici,suzanne,OR,D,House
D000617,31101,delbene,suzan,WA,D,House
M001184,31102,massie,thomas,KY,R,House
S001194,41112,schatz,brian,HI,D,Senate
F000454,20749,foster,bill,IL,D,House
T000468,20927,titus,dina,NV,D,House
C001095,21301,cotton,tom,AR,R,Senate
H001068,21303,huffman,jared,CA,D,House
B001287,21304,bera,ami,CA,D,House
B001285,21308,brownley,julia,CA,D,House
R000599,21311,ruiz,raul,CA,D,House
T000472,21312,takano,mark,CA,D,House
V000130,21314,vargas,juan,CA,D,House
P000608,21315,peters,scott,CA,D,House
F000462,21321,frankel,lois,FL,D,House
D000622,21325,duckworth,tammy,IL,D,Senate
B001282,21333,barr,garland,KY,R,House
W000817,41301,warren,elizabeth,MA,D,Senate
K000383,41300,king,angus,ME,O,Senate
W000812,21337,wagner,ann,MO,R,House
D000618,21338,daines,steve,MT,R,Senate
H001067,21346,hudson,richard,NC,R,House
C001096,21350,cramer,kevin,ND,R,Senate
F000463,41302,fischer,deb,NE,R,Senate
M001188,21342,meng,grace,NY,D,House
J000294,21343,jeffries,hakeem,NY,D,House
B001281,21352,beatty,joyce,OH,D,House
J000295,21353,joyce,david,OH,R,House
P000605,21356,perry,scott,PA,R,House
C001098,41304,cruz,ted,TX,R,Senate
W000814,21360,weber,randy,TX,R,House
C001091,21362,castro,joaquin,TX,D,House
W000816,21364,williams,roger,TX,R,House
V000131,21365,veasey,marc,TX,D,House
K000384,41305,kaine,timothy,VA,D,Senate
P000607,21370,pocan,mark,WI,D,House
K000385,21371,kelly,robin,IL,D,House
S001195,21373,smith,jason,MO,R,House
B001288,41308,booker,cory,NJ,D,Senate
C001101,21375,clark,katherine,MA,D,House
N000188,21536,norcross,donald,NJ,D,House
A000370,21545,adams,alma,NC,D,House
P000609,21500,palmer,gary,AL,R,House
H001072,21503,hill,j.,AR,R,House
W000821,21563,westerman,bruce,AR,R,House
G000574,21502,gallego,ruben,AZ,D,Senate
D000623,21504,desaulnier,mark,CA,D,House
A000371,21506,aguilar,pete,CA,D,House
L000582,21507,lieu,ted,CA,D,House
T000474,21508,torres,norma,CA,D,House
C001103,21513,carter,earl,GA,R,House
L000583,21515,loudermilk,barry,GA,R,House
A000372,21516,allen,rick,GA,R,House
B001295,21519,bost,mike,IL,R,House
M001196,21525,moulton,seth,MA,D,House
M001194,21526,moolenaar,john,MI,R,House
D000624,21529,dingell,debbie,MI,D,House
E000294,21531,emmer,tom,MN,R,House
R000603,21544,rouzer,david,NC,R,House
W000822,21538,watson coleman,bonnie,NJ,D,House
S001196,21541,stefanik,elise,NY,R,House
B001296,21548,boyle,brendan,PA,D,House
B001291,21551,babin,brian,TX,R,House
B001292,21554,beyer,donald,VA,D,House
P000610,,plaskett,stacey,VI,D,House
N000189,21556,newhouse,dan,WA,R,House
G000576,21559,grothman,glenn,WI,R,House
R000600,,radewagen,aumua amata,AS,R,House
S001198,41500,sullivan,dan,AK,R,Senate
E000295,41502,ernst,joni,IA,R,Senate
T000476,41504,tillis,thom,NC,R,Senate
R000605,41505,rounds,mike,SD,R,Senate
K000388,21561,kelly,trent,MS,R,House
L000585,21562,lahood,darin,IL,R,House
D000626,21564,davidson,warren,OH,R,House
C001108,21565,comer,james,KY,R,House
E000296,21566,evans,dwight,PA,D,House
K000393,41703,kennedy,john,LA,R,Senate
